iStep Time x y z Wx Wy Wz
         0  0.00000E+00  1.60000E+00  1.60000E+00  1.60000E+00 -5.00000E-01  0.00000E+00  0.00000E+00
         0  0.00000E+00  1.58910E+00  1.60247E+00  1.60000E+00 -4.87654E-01  1.10423E-01  0.00000E+00
         1  2.50000E-02  1.57901E+00  1.60729E+00  1.60000E+00 -4.51131E-01  2.15382E-01  0.00000E+00
         2  5.00000E-02  1.57023E+00  1.61421E+00  1.60000E+00 -3.92329E-01  3.09675E-01  0.00000E+00
         3  7.50000E-02  1.56321E+00  1.62290E+00  1.60000E+00 -3.14188E-01  3.88653E-01  0.00000E+00
         4  1.00000E-01  1.55828E+00  1.63293E+00  1.60000E+00 -2.20568E-01  4.48435E-01  0.00000E+00
         5  1.25000E-01  1.55568E+00  1.64380E+00  1.60000E+00 -1.16082E-01  4.86075E-01  0.00000E+00
         6  1.50000E-01  1.55555E+00  1.65498E+00  1.60000E+00 -5.86658E-03  4.99707E-01  0.00000E+00
         7  1.75000E-01  1.55789E+00  1.66590E+00  1.60000E+00  1.04639E-01  4.88649E-01  0.00000E+00
         8  2.00000E-01  1.56258E+00  1.67604E+00  1.60000E+00  2.09973E-01  4.53468E-01  0.00000E+00
         9  2.25000E-01  1.56940E+00  1.68490E+00  1.60000E+00  3.04943E-01  3.95902E-01  0.00000E+00
        10  2.50000E-01  1.57801E+00  1.69203E+00  1.60000E+00  3.84863E-01  3.18787E-01  0.00000E+00
        11  2.75000E-01  1.58798E+00  1.69708E+00  1.60000E+00  4.45785E-01  2.25926E-01  0.00000E+00
        12  3.00000E-01  1.59882E+00  1.69980E+00  1.60000E+00  4.84687E-01  1.21894E-01  0.00000E+00
        13  3.25000E-01  1.60999E+00  1.70007E+00  1.60000E+00  4.99617E-01  1.18317E-02  0.00000E+00
        14  3.50000E-01  1.62095E+00  1.69786E+00  1.60000E+00  4.89841E-01 -9.88072E-02  0.00000E+00
        15  3.75000E-01  1.63114E+00  1.69329E+00  1.60000E+00  4.55880E-01 -2.04542E-01  0.00000E+00
        16  4.00000E-01  1.64007E+00  1.68657E+00  1.60000E+00  3.99416E-01 -3.00159E-01  0.00000E+00
        17  4.25000E-01  1.64730E+00  1.67805E+00  1.60000E+00  3.23239E-01 -3.80947E-01  0.00000E+00
        18  4.50000E-01  1.65247E+00  1.66815E+00  1.60000E+00  2.31111E-01 -4.42923E-01  0.00000E+00
        19  4.75000E-01  1.65532E+00  1.65734E+00  1.60000E+00  1.27570E-01 -4.83025E-01  0.00000E+00
        20  5.00000E-01  1.65572E+00  1.64618E+00  1.60000E+00  1.77267E-02 -4.99269E-01  0.00000E+00
        21  5.25000E-01  1.65364E+00  1.63520E+00  1.60000E+00 -9.29911E-02 -4.90840E-01  0.00000E+00
        22  5.50000E-01  1.64919E+00  1.62495E+00  1.60000E+00 -1.99110E-01 -4.58174E-01  0.00000E+00
        23  5.75000E-01  1.64258E+00  1.61594E+00  1.60000E+00 -2.95388E-01 -4.02885E-01  0.00000E+00
        24  6.00000E-01  1.63415E+00  1.60862E+00  1.60000E+00 -3.77078E-01 -3.27701E-01  0.00000E+00
        25  6.25000E-01  1.62430E+00  1.60333E+00  1.60000E+00 -4.40154E-01 -2.36335E-01  0.00000E+00
        26  6.50000E-01  1.61354E+00  1.60035E+00  1.60000E+00 -4.81502E-01 -1.33295E-01  0.00000E+00
        27  6.75000E-01  1.60237E+00  1.59982E+00  1.60000E+00 -4.99069E-01 -2.36561E-02  0.00000E+00
        28  7.00000E-01  1.59137E+00  1.60177E+00  1.60000E+00 -4.91955E-01  8.71650E-02  0.00000E+00
        29  7.25000E-01  1.58107E+00  1.60610E+00  1.60000E+00 -4.60508E-01  1.93670E-01  0.00000E+00
        30  7.50000E-01  1.57199E+00  1.61260E+00  1.60000E+00 -4.06319E-01  2.90587E-01  0.00000E+00
        31  7.75000E-01  1.56456E+00  1.62094E+00  1.60000E+00 -3.32071E-01  3.73137E-01  0.00000E+00
        32  8.00000E-01  1.55916E+00  1.63072E+00  1.60000E+00 -2.41436E-01  4.37256E-01  0.00000E+00
        33  8.25000E-01  1.55605E+00  1.64145E+00  1.60000E+00 -1.38891E-01  4.79781E-01  0.00000E+00
        34  8.50000E-01  1.55539E+00  1.65261E+00  1.60000E+00 -2.94872E-02  4.98608E-01  0.00000E+00
        35  8.75000E-01  1.55721E+00  1.66363E+00  1.60000E+00  8.13750E-02  4.92794E-01  0.00000E+00
        36  9.00000E-01  1.56142E+00  1.67397E+00  1.60000E+00  1.88212E-01  4.62644E-01  0.00000E+00
        37  9.25000E-01  1.56781E+00  1.68314E+00  1.60000E+00  2.85752E-01  4.09649E-01  0.00000E+00
        38  9.50000E-01  1.57607E+00  1.69066E+00  1.60000E+00  3.69188E-01  3.36423E-01  0.00000E+00
        39  9.75000E-01  1.58579E+00  1.69618E+00  1.60000E+00  4.34397E-01  2.46578E-01  0.00000E+00
        40  1.00000E+00  1.59648E+00  1.69941E+00  1.60000E+00  4.78148E-01  1.44544E-01  0.00000E+00
        41  1.02500E+00  1.60762E+00  1.70020E+00  1.60000E+00  4.98253E-01  3.53551E-02  0.00000E+00
        42  1.05000E+00  1.61867E+00  1.69851E+00  1.60000E+00  4.93703E-01 -7.55773E-02  0.00000E+00
        43  1.07500E+00  1.62906E+00  1.69442E+00  1.60000E+00  4.64770E-01 -1.82752E-01  0.00000E+00
        44  1.10000E+00  1.63830E+00  1.68814E+00  1.60000E+00  4.12892E-01 -2.80880E-01  0.00000E+00
        45  1.12500E+00  1.64591E+00  1.67997E+00  1.60000E+00  3.40629E-01 -3.65127E-01  0.00000E+00
        46  1.15000E+00  1.65154E+00  1.67033E+00  1.60000E+00  2.51554E-01 -4.31339E-01  0.00000E+00
        47  1.17500E+00  1.65490E+00  1.65967E+00  1.60000E+00  1.50056E-01 -4.76245E-01  0.00000E+00
        48  1.20000E+00  1.65582E+00  1.64854E+00  1.60000E+00  4.11442E-02 -4.97625E-01  0.00000E+00
        49  1.22500E+00  1.65426E+00  1.63748E+00  1.60000E+00 -6.98009E-02 -4.94408E-01  0.00000E+00
        50  1.25000E+00  1.65029E+00  1.62704E+00  1.60000E+00 -1.77293E-01 -4.66768E-01  0.00000E+00
        51  1.27500E+00  1.64412E+00  1.61774E+00  1.60000E+00 -2.76019E-01 -4.16079E-01  0.00000E+00
        52  1.30000E+00  1.63604E+00  1.61002E+00  1.60000E+00 -3.61107E-01 -3.44838E-01  0.00000E+00
        53  1.32500E+00  1.62646E+00  1.60429E+00  1.60000E+00 -4.28366E-01 -2.56565E-01  0.00000E+00
        54  1.35000E+00  1.61585E+00  1.60081E+00  1.60000E+00 -4.74476E-01 -1.55619E-01  0.00000E+00
        55  1.37500E+00  1.60473E+00  1.59976E+00  1.60000E+00 -4.97150E-01 -4.69717E-02  0.00000E+00
        56  1.40000E+00  1.59365E+00  1.60119E+00  1.60000E+00 -4.95241E-01  6.40118E-02  0.00000E+00
        57  1.42500E+00  1.58316E+00  1.60503E+00  1.60000E+00 -4.68825E-01  1.71828E-01  0.00000E+00
        58  1.45000E+00  1.57379E+00  1.61109E+00  1.60000E+00 -4.19247E-01  2.71133E-01  0.00000E+00
        59  1.47500E+00  1.56598E+00  1.61908E+00  1.60000E+00 -3.48965E-01  3.57027E-01  0.00000E+00
        60  1.50000E+00  1.56013E+00  1.62859E+00  1.60000E+00 -2.61459E-01  4.25279E-01  0.00000E+00
        61  1.52500E+00  1.55653E+00  1.63916E+00  1.60000E+00 -1.61052E-01  4.72525E-01  0.00000E+00
        62  1.55000E+00  1.55535E+00  1.65027E+00  1.60000E+00 -5.26925E-02  4.96428E-01  0.00000E+00
        63  1.57500E+00  1.55666E+00  1.66136E+00  1.60000E+00  5.82733E-02  4.95794E-01  0.00000E+00
        64  1.60000E+00  1.56038E+00  1.67188E+00  1.60000E+00  1.66355E-01  4.70665E-01  0.00000E+00
        65  1.62500E+00  1.56633E+00  1.68133E+00  1.60000E+00  2.66215E-01  4.22293E-01  0.00000E+00
        66  1.65000E+00  1.57423E+00  1.68923E+00  1.60000E+00  3.52932E-01  3.53061E-01  0.00000E+00
        67  1.67500E+00  1.58367E+00  1.69519E+00  1.60000E+00  4.22223E-01  2.66386E-01  0.00000E+00
        68  1.70000E+00  1.59420E+00  1.69891E+00  1.60000E+00  4.70656E-01  1.66542E-01  0.00000E+00
        69  1.72500E+00  1.60529E+00  1.70022E+00  1.60000E+00  4.95816E-01  5.84556E-02  0.00000E+00
        70  1.75000E+00  1.61639E+00  1.69904E+00  1.60000E+00  4.96430E-01 -5.25219E-02  0.00000E+00
        71  1.77500E+00  1.62696E+00  1.69544E+00  1.60000E+00  4.72516E-01 -1.60883E-01  0.00000E+00
        72  1.80000E+00  1.63647E+00  1.68960E+00  1.60000E+00  4.25268E-01 -2.61272E-01  0.00000E+00
        73  1.82500E+00  1.64446E+00  1.68180E+00  1.60000E+00  3.57021E-01 -3.48745E-01  0.00000E+00
        74  1.85000E+00  1.65053E+00  1.67243E+00  1.60000E+00  2.71147E-01 -4.18987E-01  0.00000E+00
        75  1.87500E+00  1.65437E+00  1.66195E+00  1.60000E+00  1.71884E-01 -4.68529E-01  0.00000E+00
        76  1.90000E+00  1.65580E+00  1.65088E+00  1.60000E+00  6.41258E-02 -4.94923E-01  0.00000E+00
        77  1.92500E+00  1.65476E+00  1.63976E+00  1.60000E+00 -4.68018E-02 -4.96851E-01  0.00000E+00
        78  1.95000E+00  1.65128E+00  1.62915E+00  1.60000E+00 -1.55413E-01 -4.74226E-01  0.00000E+00
        79  1.97500E+00  1.64555E+00  1.61957E+00  1.60000E+00 -2.56338E-01 -4.28177E-01  0.00000E+00
        80  2.00000E+00  1.63784E+00  1.61150E+00  1.60000E+00 -3.44593E-01 -3.60976E-01  0.00000E+00
        81  2.02500E+00  1.62854E+00  1.60533E+00  1.60000E+00 -4.15829E-01 -2.75942E-01  0.00000E+00
        82  2.05000E+00  1.61810E+00  1.60136E+00  1.60000E+00 -4.66530E-01 -1.77275E-01  0.00000E+00
        83  2.07500E+00  1.60705E+00  1.59980E+00  1.60000E+00 -4.94187E-01 -6.98394E-02  0.00000E+00
        84  2.10000E+00  1.59592E+00  1.60072E+00  1.60000E+00 -4.97410E-01  4.10645E-02  0.00000E+00
        85  2.12500E+00  1.58527E+00  1.60407E+00  1.60000E+00 -4.76009E-01  1.49940E-01  0.00000E+00
        86  2.15000E+00  1.57563E+00  1.60970E+00  1.60000E+00 -4.31081E-01  2.51385E-01  0.00000E+00
        87  2.17500E+00  1.56747E+00  1.61731E+00  1.60000E+00 -3.64860E-01  3.40390E-01  0.00000E+00
        88  2.20000E+00  1.56119E+00  1.62654E+00  1.60000E+00 -2.80623E-01  4.12569E-01  0.00000E+00
        89  2.22500E+00  1.55711E+00  1.63693E+00  1.60000E+00 -1.82537E-01  4.64364E-01  0.00000E+00
        90  2.25000E+00  1.55542E+00  1.64796E+00  1.60000E+00 -7.54383E-02  4.93217E-01  0.00000E+00
        91  2.27500E+00  1.55621E+00  1.65909E+00  1.60000E+00  3.53914E-02  4.97690E-01  0.00000E+00
        92  2.30000E+00  1.55944E+00  1.66978E+00  1.60000E+00  1.44469E-01  4.77563E-01  0.00000E+00
        93  2.32500E+00  1.56495E+00  1.67948E+00  1.60000E+00  2.46403E-01  4.33847E-01  0.00000E+00
        94  2.35000E+00  1.57247E+00  1.68773E+00  1.60000E+00  3.36168E-01  3.68698E-01  0.00000E+00
        95  2.37500E+00  1.58163E+00  1.69411E+00  1.60000E+00  4.09332E-01  2.85330E-01  0.00000E+00
        96  2.40000E+00  1.59197E+00  1.69832E+00  1.60000E+00  4.62274E-01  1.87857E-01  0.00000E+00
